Year,ELA (m a.s.l.)
1962,3130
1963,2840
1964,2900
1965,2770
1966,2780
1967,2800
1968,2710
1969,2740
1970,3040
1971,3080
1972,2680
1973,3070
1974,2950
1975,2720
1976,3090
1977,2510
1978,2670
1979,3070
1980,2660
1981,2940
1982,3030
1983,3000
1984,2865
1985,2885
1986,2997
1987,3114
1988,3231
1989,3186
1990,3401
1991,3264
1992,3028
1993,2839
1994,2953
1995,2799
1996,2884
1997,2893
1998,3401
1999,2979
2000,3009
2001,2897
2002,2975
2003,3400
2004,3400
2005,3153
2006,3325
2007,3324
2008,3125
2009,3134
2010,3085
